PosX,PosY,SurfaceValue
-3.48485,2.87879,2.0419
1.36364,3.48485,1.34399
-2.27273,2.27273,1.37855
-1.9697,2.57576,2.47032
-2.87879,-0.151515,0.680635
0.757576,-2.27273,0.98813
-1.06061,1.36364,2.95403
1.66667,3.48485,1.7655
1.9697,3.48485,1.3129
2.27273,3.48485,1.79314
1.66667,1.66667,0.763555
0.757576,-1.66667,0.22112
2.57576,3.48485,1.09869
3.48485,3.48485,0
-0.151515,-1.9697,0.19348
3.78788,3.48485,0.079465
4.39394,3.48485,0.065645
0.151515,-3.18182,0.33168
5,3.48485,1.0745
1.36364,-2.27273,0.56662
-5,3.18182,0
2.27273,-1.9697,0.26258
-4.69697,3.18182,1.67913
-0.454545,2.87879,1.31981
-4.39394,3.18182,1.81042
-2.87879,3.18182,2.39432
-4.69697,-1.66667,1.78623
-2.57576,3.18182,1.98317
-2.27273,3.18182,2.56361
-1.66667,3.18182,1.73441
-1.36364,3.18182,0.86375
-0.454545,3.18182,1.20925
1.36364,2.27273,1.37509
0.151515,3.18182,0.9674
0.454545,3.18182,1.74478
1.36364,3.18182,1.32672
-2.87879,-4.69697,3.25461
-1.9697,-2.27273,0.18657
2.27273,3.18182,0.91212
-0.151515,-1.06061,0.576985
2.57576,3.18182,1.69641
-0.454545,-2.27273,0.21421
3.48485,3.18182,0.14511
-2.27273,-0.151515,0.83611
4.69697,0.757576,0.252215
2.57576,-0.151515,0.1382
4.69697,-3.78788,0.9674
3.78788,3.18182,0.13129
4.09091,-2.57576,0.735915
4.09091,3.18182,0.024185
4.39394,3.18182,0.044915
5,3.18182,0.94667
1.06061,1.9697,1.97281
-0.757576,2.57576,1.7966
1.9697,-4.09091,0
-5,2.87879,2.88147
1.9697,-0.757576,0.32477
-4.69697,2.87879,1.91407
-2.27273,1.66667,1.16088
-2.57576,2.87879,2.20083
-4.09091,2.87879,1.87952
-3.48485,1.66667,1.95553
-0.454545,0.757576,2.25266
4.69697,1.9697,1.55475
-0.454545,-3.78788,0
1.36364,1.06061,0.74628
-2.87879,2.87879,2.16974
-2.27273,2.87879,1.77242
-1.36364,1.36364,2.3805
-1.66667,2.87879,2.24575
4.39394,1.06061,0.19348
-1.06061,2.87879,2.2423
-0.151515,2.87879,0.86375
-1.36364,0.454545,0.763555
0.454545,2.87879,1.84151
2.27273,-0.151515,1.71022
-1.66667,1.66667,2.50833
0.757576,2.87879,2.50487
4.09091,-4.39394,1.69295
-4.39394,1.06061,1.55475
1.06061,2.87879,2.51524
1.36364,2.87879,1.05723
1.66667,2.87879,2.48414
0.454545,-1.9697,0.950125
1.9697,2.87879,0.62881
2.57576,2.87879,0.811925
3.18182,-0.454545,1.02268
0.454545,-3.18182,0.37314
